Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Tyrell Shavers,BUF,WR38,0,0,0,1.5,21.3,0.1,0,2.6
Konata Mumpfield,LAR,WR39,0,0,0,1.5,17,0.2,0,2.6
Brian Robinson Jr.,SF,RB23,4.6,18.2,0,0.3,2.4,0,0,2.3
Cade Stover,HOU,TE17,1.4,6.4,0.1,0.9,8,0.1,0,2.2
Jahdae Walker,CHI,WR40,0,0,0,1.1,15.3,0.1,0,2.1
Mitchell Evans,CAR,TE18,0.9,3.8,0,1.3,11.3,0.1,0,2.1
Austin Hooper,NE,TE19,0,0,0,1.3,14,0.1,0,2.1
Jimmy Horn Jr.,CAR,WR41,0.9,3.8,0,0.9,10.4,0.1,0,1.9
Kendrick Bourne,SF,WR42,0,0,0,1.3,14.8,0.1,0,1.9
Tank Bigsby,PHI,RB24,3.2,13.1,0.1,0.2,1.6,0,0,1.9
Jake Tonges,SF,TE20,0,0,0,1.2,12.8,0.1,0,1.9
Gabe Davis,BUF,WR43,0,0,0,0.9,12.2,0.1,0,1.8
Matthew Golden,GB,WR44,0.3,1.3,0,1.2,13.3,0,0,1.8
Tre Harris,LAC,WR45,0,0,0,1,14.7,0,0,1.7
Kyle Juszczyk,SF,RB25,1.4,5.6,0,0.8,7.5,0,0,1.7
Joshua Palmer,BUF,WR46,0,0,0,1,14.7,0,0,1.6
Connor Heyward,PIT,TE21,2.1,9.5,0.1,0.2,1.9,0,0,1.6
Xavier Smith,LAR,WR47,0,0,0,1,12.9,0,0,1.5
Dontayvion Wicks,GB,WR48,0,0,0,0.9,10.3,0.1,0,1.5
Tyler Conklin,LAC,TE22,0,0,0,1.1,10.7,0.1,0,1.4
Jahan Dotson,PHI,WR49,0,0,0,1,11.9,0,0,1.4
Jaylin Noel,HOU,WR50,0,0,0,1.1,11.1,0,0,1.4
Terrance Ferguson,LAR,TE23,0,0,0,1,10.5,0,0,1.3
Olamide Zaccheaus,CHI,WR51,0,0,0,0.9,9.5,0.1,0,1.3
Ray Davis,BUF,RB26,2.2,8.3,0,0.3,1.9,0,0,1.2
Grant Calcaterra,PHI,TE24,0,0,0,0.9,8.6,0.1,0,1.2
Keon Coleman,BUF,WR52,0,0,0,0.6,8.2,0.1,0,1.1
Will Shipley,PHI,RB27,1.7,6.9,0,0.2,1.4,0,0,1.1
Davis Allen,LAR,TE25,0,0,0,0.7,7.1,0.1,0,1.1
Quintin Morris,JAC,TE26,0,0,0,0.7,6.9,0.1,0,1
Efton Chism III,NE,WR53,0,0,0,0.6,7.2,0.1,0,1
Brycen Tremayne,CAR,WR54,0,0,0,0.7,7.8,0,0,1
Chris Brooks,GB,RB28,1.5,6,0,0.2,1.5,0,0,1
Nick Chubb,HOU,RB29,1.7,7.4,0,0.1,0.5,0,0,0.9
Kylen Granson,PHI,TE27,0,0,0,0.6,6.2,0,0,0.9
Darius Cooper,PHI,WR55,0,0,0,0.6,6,0,0,0.8
